id,ndex,species,forme,dex1,dex2,type1_id,type2_id,ability1_id,ability2_id,hidden_ability_id,hp,attack,defense,spattack,spdefense,speed,total,weight,height,class,percent_male,percent_female,egg_group1,egg_group2,image_url
11,11,Metapod,Metapod,Its shell is filled with its soft innards. It doesn’t move much because of the risk it might carelessly spill its innards out.,"Its shell is hard, but it’s still just a bug shell. It’s been known to break, so intense battles with it should be avoided.",12,,61,,,50,20,55,25,25,30,205,21.8,2.0,Cocoon Pokémon,0.5,0.5,Bug,,011.png
12,12,Butterfree,Butterfree,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,"When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings.",12,10,14,,110,60,45,50,90,80,70,395,70.5,3.0,Butterfly Pokémon,0.5,0.5,Bug,,012.png
13,13,Weedle,Weedle,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,12,8,19,,50,40,35,30,20,20,50,195,7.1,1.0,Hairy Bug Pokémon,0.5,0.5,Bug,,013.png
14,14,Kakuna,Kakuna,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.","Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",12,8,61,61,,45,25,50,25,25,35,205,22.0,2.0,Cocoon Pokémon,0.5,0.5,Bug,,014.png
15,15,Beedrill,Beedrill,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,It has 3 poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,12,8,68,68,97,65,90,40,45,80,75,395,65.0,3.0,Poison Bee Pokémon,0.5,0.5,Bug,,015.png
16,16,Pidgey,Pidgey,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",1,10,51,77,145,40,45,40,35,35,56,251,4.0,1.0,Tiny Bird Pokémon,0.5,0.5,Flying,,016.png
17,17,Pidgeotto,Pidgeotto,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",This POKéMON is full of vitality. It constantly flies around its large territory in search of prey.,1,10,51,77,145,63,60,55,50,50,71,349,66.1,3.0,Bird Pokémon,0.5,0.5,Flying,,017.png
18,18,Pidgeot,Pidgeot,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.","This POKéMON flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",1,10,51,77,145,83,80,75,70,70,101,479,87.1,4.0,Bird Pokémon,0.5,0.5,Flying,,018.png
19,19,Rattata,Rattata,"Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.","With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly.",1,,50,62,55,30,56,35,25,35,72,253,7.7,1.0,Mouse Pokémon,0.5,0.5,Field,,019.png
20,20,Raticate,Raticate,"Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans.","Its disposition is far more violent than its looks would suggest. Don’t let your hand get too close to its face, as it could bite your hand clean off.",1,,50,62,55,55,81,60,50,70,97,413,40.8,2.0,Mouse Pokémon,0.5,0.5,Field,,020.png
21,21,Spearow,Spearow,Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type Pokémon in the tall grass.,Farmers whose fields are troubled by bug Pokémon appreciate Spearow for its vigorous appetite and look after it.,1,10,51,51,97,40,60,30,31,31,70,262,4.4,1.0,Tiny Bird Pokémon,0.5,0.5,Flying,,021.png
22,22,Fearow,Fearow,It’s tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.,Drawings of a Pokémon resembling Fearow can be seen in murals from deep in ancient history.,1,10,51,51,97,65,90,65,61,61,100,442,83.8,3.0,Beak Pokémon,0.5,0.5,Flying,,022.png
23,23,Ekans,Ekans,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.","The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",8,,22,61,127,35,60,44,40,54,55,288,15.2,6.0,Snake Pokémon,0.5,0.5,Field,Dragon,023.png
24,24,Arbok,Arbok,It is rumored that the ferocious warning markings on its belly differ from area to area.,The frightening patterns on its belly have been studied. Six variations have been confirmed.,8,,22,61,127,60,95,69,65,79,80,448,143.3,11.0,Cobra Pokémon,0.5,0.5,Field,Dragon,024.png
25,25,Pikachu,Pikachu,A plan was recently announced to gather many Pikachu and make an electric power plant.,It’s in its nature to store electricity. It feels stressed now and then if it’s unable to fully discharge the electricity.,4,,9,9,31,35,55,40,50,50,90,320,13.2,1.0,Mouse Pokémon,0.5,0.5,Field,Fairy,025.png
26,26,Raichu,Raichu,"It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant.","It becomes aggressive when it has electricity stored up. At such times, even its Trainer has to take care to avoid being attacked.",4,,9,9,31,60,90,55,90,80,110,485,66.1,2.0,Mouse Pokémon,0.5,0.5,Field,Fairy,026.png
27,27,Sandshrew,Sandshrew,It can roll its body into a ball. It moves through the desert by rolling at high speeds.,"It usually makes its home in deserts and arid zones, where rain does not fall. It digs holes to catch Bug-type Pokémon.",9,,8,,146,50,75,85,20,30,40,300,26.5,2.0,Mouse Pokémon,0.5,0.5,Field,,027.png
28,28,Sandslash,Sandslash,"Although they are sharp, its claws and spikes often break off. They grow back the next day, so it is not bothered by the temporary loss.","It uses its claws to climb trees and then curls its body into a spiny ball, ready to drop onto any prey that appears.",9,,8,,146,75,100,110,45,55,65,450,65.0,3.0,Mouse Pokémon,0.5,0.5,Field,,028.png
29,29,Nidoran♀,Nidoran♀,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.","A mild-mannered POKéMON that does not like to fight. Beware, its small horns secrete venom.",8,,38,79,55,55,47,52,40,40,41,275,15.4,1.0,Poison Pin Pokémon,0.0,1.0,Monster,Field,029.png
30,30,Nidorina,Nidorina,The female’s horn develops slowly. Prefers physical attacks such as clawing and biting.,"When resting deep in its burrow, its thorns always retract. This is proof that it is relaxed.",8,,38,79,55,70,62,67,55,55,56,365,44.1,2.0,Poison Pin Pokémon,0.0,1.0,Undiscovered,,030.png
31,31,Nidoqueen,Nidoqueen,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,Tough scales cover the sturdy body of this POKéMON. It appears that the scales grow in cycles.,8,9,38,79,125,90,92,87,75,85,76,505,132.3,4.0,Drill Pokémon,0.0,1.0,Undiscovered,,031.png
32,32,Nidoran♂,Nidoran♂,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.","Its large ears are always kept upright. If it senses danger, it will attack with a poisonous sting.",8,,38,79,55,46,57,40,40,40,50,273,19.8,1.0,Poison Pin Pokémon,1.0,0.0,Monster,Field,032.png
33,33,Nidorino,Nidorino,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,"Its horns contain venom. If they are stabbed into an enemy, the impact makes the poison leak out.",8,,38,79,55,61,72,57,55,55,65,365,43.0,2.0,Poison Pin Pokémon,1.0,0.0,Monster,Field,033.png
34,34,Nidoking,Nidoking,"It uses its powerful tail in battle to smash, constrict, then break the prey’s bones.","Its steel-like hide adds to its powerful tackle. Its horns are so hard, they can pierce a diamond.",8,9,38,79,125,81,102,77,85,75,85,505,136.7,4.0,Drill Pokémon,1.0,0.0,Monster,Field,034.png
35,35,Clefairy,Clefairy,"Its adorable behavior and appearance make it popular with men and women, young and old. Its numbers are few, however.","On nights with a full moon, they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field.",18,,56,98,132,70,45,48,60,65,35,323,16.5,2.0,Fairy Pokémon,0.25,0.75,Fairy,,035.png
36,36,Clefable,Clefable,They don’t like to reveal themselves in front of people. They live quietly in packs deep in the mountains.,"According to tradition, people who see a pair of Clefable skipping by can look forward to a happy marriage.",18,,56,98,109,95,70,73,95,90,60,483,88.2,4.0,Fairy Pokémon,0.25,0.75,Fairy,,036.png
37,37,Vulpix,Vulpix,"Its beautiful fur and tails have made it very popular. As it grows, its tails split to form more tails.",From its mouth spew flames that seem to resemble the spirits of the deceased. Some people mistakenly think this fire is a ghost.,2,,18,,70,38,41,40,50,65,65,299,21.8,2.0,Fox Pokémon,0.25,0.75,Field,,037.png
38,38,Ninetales,Ninetales,Legend has it that this mystical Pokémon was formed when nine saints coalesced into one.,"Said to live for a thousand years, this Pokémon uses its supernatural abilities to manipulate fire. It can burn its prey to a crisp as it pleases.",2,,18,,70,73,76,75,81,100,100,505,43.9,3.0,Fox Pokémon,0.25,0.75,Field,,038.png
39,39,Jigglypuff,Jigglypuff,"It hugely inflates its stomach and sings a mysterious melody. If you hear this melody, you’ll become sleepy right away.","Jigglypuff possess a vocal range that exceeds 12 octaves, but each individual’s singing skill depends on its own effort.",1,18,56,172,132,115,45,20,45,25,20,270,12.1,1.0,Balloon Pokémon,0.25,0.75,Fairy,,039.png
40,40,Wigglytuff,Wigglytuff,It sheds its fine fur when the seasons change. The fur is gathered and spun into a luxurious yarn.,"As it inhales, it expands...and expands...and expands. Wigglytuff compete to see which one can inflate itself the most.",1,18,56,172,119,140,70,45,85,50,45,435,26.5,3.0,Balloon Pokémon,0.25,0.75,Fairy,,040.png
41,41,Zubat,Zubat,"It sleeps in caves during the day. It has no eyes, so to check its surroundings while flying, it emits ultrasonic waves.","When exposed to sunlight, they suffer burns. The frequency of their ultrasonic waves can differ slightly from colony to colony.",8,10,39,,151,40,45,35,30,40,55,245,16.5,2.0,Bat Pokémon,0.5,0.5,Flying,,041.png
42,42,Golbat,Golbat,"Its thick fangs are hollow like straws, making them unexpectedly fragile. These fangs are specialized for sucking blood.","Sometimes they drink so much blood, they can’t fly anymore. Then they fall to the ground and become food for other Pokémon.",8,10,39,,151,75,80,70,65,75,90,455,121.3,5.0,Bat Pokémon,0.5,0.5,Flying,,042.png
43,43,Oddish,Oddish,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.","It may be mistaken for a clump of weeds. If you try to yank it out of the ground, it shrieks horribly.",5,8,34,,50,45,50,55,75,65,30,320,11.9,1.0,Weed Pokémon,0.5,0.5,Grass,,043.png
44,44,Gloom,Gloom,The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.,"Smells incredibly foul! However, around 1 out of 1,000 people enjoy sniffing its nose-bending stink.",5,8,34,,1,60,65,70,85,75,40,395,19.0,2.0,Weed Pokémon,0.5,0.5,Grass,,044.png
45,45,Vileplume,Vileplume,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud.,5,8,34,,27,75,80,85,110,90,50,490,41.0,3.0,Flower Pokémon,0.5,0.5,Grass,,045.png
46,46,Paras,Paras,"No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes.",Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.,12,5,27,87,6,35,70,55,45,55,25,285,11.9,1.0,Mushroom Pokémon,0.5,0.5,Bug,Grass,046.png
47,47,Parasect,Parasect,The large mushroom on its back controls it. It often fights over territory with Shiinotic.,"It scatters toxic spores from its mushroom cap. Once harvested, these spores can be steeped and boiled down to prepare herbal medicines.",12,5,27,87,6,60,95,80,60,80,30,405,65.0,3.0,Mushroom Pokémon,0.5,0.5,Bug,Grass,047.png
48,48,Venonat,Venonat,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,"Its large eyes act as radars. In a bright place, you can see that they are clusters of many tiny eyes.",12,8,14,110,50,60,55,50,40,55,45,305,66.1,3.0,Insect Pokémon,0.5,0.5,Bug,,048.png
49,49,Venomoth,Venomoth,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.,The powdery scales on its wings are hard to remove. They also contain poison that leaks out on contact.,12,8,19,110,147,70,65,60,90,75,90,450,27.6,4.0,Poison Moth Pokémon,0.5,0.5,Bug,,049.png
50,50,Diglett,Diglett,It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest.,Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.,9,,8,71,159,10,55,25,35,45,95,265,1.8,0.0,Mole Pokémon,0.5,0.5,Field,,050.png
51,51,Dugtrio,Dugtrio,This set of triplets moves cooperatively. It’s the power of teamwork that enables this Pokémon to dig to a depth of 60 miles.,"Despite the closeness between this Pokémon and farmers and other people, no one has ever seen the parts of it concealed underground.",9,,8,71,159,35,100,50,50,70,120,425,73.4,2.0,Mole Pokémon,0.5,0.5,Field,,051.png
52,52,Meowth,Meowth,"It lies around all day, becoming active near dusk. At night, it wanders the city in search of loose change.",It loves shiny things. It often fights with Murkrow over prey they’re both trying to catch.,1,,53,101,127,40,45,35,40,40,90,290,9.3,1.0,Scratch Cat Pokémon,0.5,0.5,Field,,052.png
53,53,Persian,Persian,It has a violent temperament. It will attack anything that looks it in the eye. Its sharp claws inflict deep wounds.,"It has a high opinion of itself, although not to the same extent as the Alolan Persian. It’s quite difficult to make friends with this Pokémon.",1,,7,101,127,65,70,60,65,65,115,440,70.5,3.0,Classy Cat Pokémon,0.5,0.5,Field,,053.png
54,54,Psyduck,Psyduck,"As a result of headaches so fierce they cause it to cry, it sometimes uses psychokinesis without meaning to.","This Pokémon is troubled by constant headaches. The more pain it’s in, the more powerful its psychokinesis becomes.",3,,6,13,33,50,52,48,65,50,55,320,43.2,2.0,Duck Pokémon,0.5,0.5,Water 1,Field,054.png
55,55,Golduck,Golduck,"It is said that the red part of its forehead grants supernatural powers to those who possess one, so it was over-hunted in the past.",It swims along the banks of lakes and catches fish Pokémon. It takes them to the shore and quietly eats them up.,3,,6,13,33,80,82,78,95,80,85,500,168.9,5.0,Duck Pokémon,0.5,0.5,Water 1,Field,055.png
56,56,Mankey,Mankey,"It can spontaneously become enraged. Everyone near it clears out as it rampages, and the resulting loneliness makes it angrier still.","Its raging tires it out and causes it to fall asleep, but the anger resonating in its dreams causes it to wake up—which infuriates it all over again.",7,,72,83,128,40,80,35,35,45,70,305,61.7,1.0,Pig Monkey Pokémon,0.5,0.5,Field,,056.png
57,57,Primeape,Primeape,"It has been known to become so angry that it dies as a result. Its face looks peaceful in death, however.",Some researchers theorize that Primeape remains angry even when inside a Poké Ball.,7,,72,83,128,65,105,60,60,70,95,455,70.5,3.0,Pig Monkey Pokémon,0.5,0.5,Field,,057.png
58,58,Growlithe,Growlithe,"It’s both clever and loyal, but if a stranger tries to invade its territory, it barks threateningly.","It looks cute, but when you approach another Trainer’s Growlithe, it will bark at you and bite.",2,,22,18,154,55,70,45,70,50,60,350,41.9,2.0,Puppy Pokémon,0.75,0.25,Field,,058.png
59,59,Arcanine,Arcanine,"Overflowing with beauty and majesty, this strong Pokémon appears in ancient Eastern folklore.",The fire burning inside its body serves as the energy to fuel it as it runs great distances. It appears in many legends.,2,,22,18,154,90,110,80,100,80,95,555,341.7,6.0,Legendary Pokémon,0.75,0.25,Field,,059.png
60,60,Poliwag,Poliwag,"The swirl on its belly is its internal organs showing through. If the swirl is tinged white, that means it’s affected by some disease.",It’s still not very good at walking. Its Trainers should train this Pokémon to walk every day.,3,,11,6,33,40,50,40,40,40,90,300,27.3,2.0,Tadpole Pokémon,0.5,0.5,Water 1,,060.png
61,61,Poliwhirl,Poliwhirl,"Although it can live on land, it prefers to stay in the water, where it has fewer natural enemies.",It marches over the land in search of bug Pokémon to eat. Then it takes them underwater so it can dine on them where it’s safe.,3,,11,6,33,65,65,65,50,50,90,385,44.1,3.0,Tadpole Pokémon,0.5,0.5,Water 1,,061.png
62,62,Poliwrath,Poliwrath,Poliwrath in the Alola region are strong swimmers that use the breaststroke. Many children learn to swim by imitating Poliwrath.,"Its percentage of body fat is nearly zero. Its body is entirely muscle, which makes it heavy and forces its swimming prowess to develop.",3,7,11,6,33,90,95,95,70,90,70,510,119.0,4.0,Tadpole Pokémon,0.5,0.5,Water 1,,062.png
63,63,Abra,Abra,"It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there.","It can teleport itself to safety while it’s asleep, but when it wakes, it doesn’t know where it is, so it panics.",11,,28,39,98,25,20,15,105,55,90,310,43.0,2.0,Psi Pokémon,0.75,0.25,Human-Like,,063.png
64,64,Kadabra,Kadabra,A theory exists that this Pokémon was a young boy who couldn’t control his psychic powers and ended up transformed into this Pokémon.,Kadabra’s presence infests televisions and monitors with creepy shadows that bring bad luck.,11,,28,39,98,40,35,30,120,70,105,400,124.6,4.0,Psi Pokémon,0.75,0.25,Human-Like,,064.png
65,65,Alakazam,Alakazam,"It is said to have an IQ of approximately 5,000. Its overflowing psychokinetic powers cause headaches to anyone nearby.","Its brain cells continue to increase in number until its death. The older the Alakazam, the larger its head.",11,,28,39,98,55,50,45,135,95,120,500,105.8,4.0,Psi Pokémon,0.75,0.25,Human-Like,,065.png
66,66,Machop,Machop,"It loves working out. As it gazes at its muscles, which continue to swell day by day, it becomes more and more dedicated to its training.","With its superhuman strength, it’s able to throw a hundred people all at the same time. Its strength comes from lifting Graveler every day.",7,,62,99,80,70,80,50,35,35,35,305,43.0,2.0,Superpower Pokémon,0.75,0.25,Human-Like,,066.png
67,67,Machoke,Machoke,"As a result of its continual workouts, it has developed tremendous power. It uses that power to help people with their work.",It willingly assists with hard labor because it knows the work is good training for its muscles.,7,,62,99,80,80,100,70,50,60,45,405,155.4,4.0,Superpower Pokémon,0.75,0.25,Human-Like,,067.png
68,68,Machamp,Machamp,It unleashes megaton-level punches that send opponents flying clear over the horizon.,It can lift heavy loads with the greatest of ease. It can even heft dump trucks. But its clumsy fingers prevent it from doing any precision work.,7,,62,99,80,90,130,80,65,85,55,505,286.6,5.0,Superpower Pokémon,0.75,0.25,Human-Like,,068.png
69,69,Bellsprout,Bellsprout,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,Prefers hot and humid places. It ensnares tiny insects with its vines and devours them.,5,8,34,,82,50,75,35,70,30,40,300,8.8,2.0,Flower Pokémon,0.5,0.5,Grass,,069.png
70,70,Weepinbell,Weepinbell,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,"When hungry, it swallows anything that moves. Its hapless prey is melted inside by strong acids.",5,8,34,,82,65,90,50,85,45,55,390,14.1,3.0,Flycatcher Pokémon,0.5,0.5,Grass,,070.png
71,71,Victreebel,Victreebel,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.","Lures prey with the sweet aroma of honey. Swallowed whole, the prey is melted in a day, bones and all.",5,8,34,,82,80,105,65,100,70,70,490,34.2,5.0,Flycatcher Pokémon,0.5,0.5,Grass,,071.png
72,72,Tentacool,Tentacool,"They can be found lying dehydrated on beaches, but they are often still alive. When soaked in water, they will revive.","It drifts in shallow seas, such as the areas near beaches. If you get bitten or stabbed by its toxic tentacles, rush to the hospital.",3,8,29,64,44,40,40,35,50,100,70,335,100.3,2.0,Jellyfish Pokémon,0.5,0.5,Water 3,,072.png
73,73,Tentacruel,Tentacruel,"Normally, it has 80 poisonous tentacles. The longer one has been alive, the fewer tentacles it will have.","Although these Pokémon are rare, when a large outbreak of them occurs, all fish Pokémon disappear from the surrounding sea.",3,8,29,64,44,80,70,65,80,120,100,515,121.3,5.0,Jellyfish Pokémon,0.5,0.5,Water 3,,073.png
74,74,Geodude,Geodude,"Its round body makes it easy to pick up, but it is hard and heavy. It’s dangerous to play with them as if they were snowballs.",There are plenty of them to be found along any road. A scholar with too much free time once counted a hundred of them along a single route.,13,9,69,5,8,40,80,100,30,30,20,300,44.1,1.0,Rock Pokémon,0.5,0.5,Mineral,,074.png
75,75,Graveler,Graveler,Mossy rocks are its favorite food. It can devour a ton a day while crunching loudly.,"This slow-footed Pokémon moves by curling up and rolling instead of walking. With enough momentum, its speed can exceed 60 mph.",13,9,69,5,8,55,95,115,45,45,35,390,231.5,3.0,Rock Pokémon,0.5,0.5,Mineral,,075.png
76,76,Golem,Golem,"Its body can survive dynamite blasts without a single scratch, but it hates rain and humidity.","Once a year, this Pokémon molts, and its shed shell returns to the soil. This process creates enriched soil, so farmers collect the shells.",13,9,69,5,8,80,120,130,55,65,45,495,661.4,4.0,Megaton Pokémon,0.5,0.5,Mineral,,076.png
77,77,Ponyta,Ponyta,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,Capable of jumping incredibly high. Its hooves and sturdy legs absorb the impact of a hard landing.,2,,50,18,49,50,85,55,65,65,90,410,66.1,3.0,Fire Horse Pokémon,0.5,0.5,Field,,077.png
78,78,Rapidash,Rapidash,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.","Just loves to run. If it sees something faster than itself, it will give chase at top speed.",2,,50,18,49,65,100,70,80,80,105,500,209.4,5.0,Fire Horse Pokémon,0.5,0.5,Field,,078.png
79,79,Slowpoke,Slowpoke,"Its long tail often breaks off. It doesn’t really feel any pain, though, and the tail grows back, so Slowpoke isn’t particularly bothered.",Alolan home cooking involves drying Slowpoke tails and then simmering them into a salty stew.,3,11,12,20,144,90,65,65,40,40,15,315,79.4,3.0,Dopey Pokémon,0.5,0.5,Monster,Water 1,079.png
80,80,Slowbro,Slowbro,"It spaces out while gazing at the sea. With Shellder’s poison flowing through its body, it becomes even spacier.","Whenever Shellder bites down hard on its tail, it gives Slowbro a flash of inspiration...which it forgets a moment later.",3,11,12,20,144,95,75,110,100,80,30,490,173.1,5.0,Hermit Crab Pokémon,0.5,0.5,Monster,Water 1,080.png
81,81,Magnemite,Magnemite,They gather in places where electricity is available. They can be found clinging to the steel towers used to support power lines.,"It sends out electromagnetic waves, which let it float through the air. Touching it while it’s eating electricity will give you a full-body shock.",4,17,42,5,148,25,35,70,95,55,45,325,13.2,1.0,Magnet Pokémon,,,Mineral,,081.png
82,82,Magneton,Magneton,"When three Magnemite link together, their brains also become one. They do not become three times more intelligent.","It has about three times the electrical power of Magnemite. For some reason, outbreaks of this Pokémon happen when lots of sunspots appear.",4,17,42,5,148,50,60,95,120,70,70,465,132.3,3.0,Magnet Pokémon,,,Mineral,,082.png
83,83,Farfetch’d,Farfetch’d,"The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation, the stalk can also serve as food.","They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed.",1,10,51,39,128,52,90,55,58,62,60,377,33.1,2.0,Wild Duck Pokémon,0.5,0.5,Flying,Field,083.png
84,84,Doduo,Doduo,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,"Its short wings make flying difficult. Instead, this POKéMON runs at high speed on developed legs.",1,10,50,48,77,35,85,45,35,35,75,310,86.4,4.0,Twin Bird Pokémon,0.5,0.5,Flying,,084.png
85,85,Dodrio,Dodrio,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.",One of DODUO’s 2 heads splits to form a unique species. It runs close to 40 MPH in prairies.,1,10,50,48,77,60,110,70,60,60,100,460,187.8,5.0,Triple Bird Pokémon,0.5,0.5,Flying,,085.png
86,86,Seel,Seel,The protruding horn on its head is very hard. It is used for bashing through thick ice.,Loves freezing cold conditions. Relishes swimming in a frigid climate of around 14F degrees.,3,,47,93,115,65,45,55,45,70,45,325,198.4,3.0,Sea Lion Pokémon,0.5,0.5,Water 1,Field,086.png
87,87,Dewgong,Dewgong,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,"Its entire body is a snowy-white. Unharmed by even intense cold, it swims powerfully in icy waters.",3,6,47,93,115,90,70,80,70,95,70,475,264.6,5.0,Sea Lion Pokémon,0.5,0.5,Water 1,Field,087.png
88,88,Grimer,Grimer,Its main source of food is the slimy industrial waste of factories. This Pokémon’s numbers have been decreasing in recent years.,"It was born from sludge transformed by exposure to X-rays from the moon. When its internal load of germs decreases, it dies.",8,,1,60,143,80,80,50,40,50,25,325,66.1,2.0,Sludge Pokémon,0.5,0.5,Amorphous,,088.png
89,89,Muk,Muk,"The stench it gives off will make your nose scrunch up. Still, there are Muk fans who think that’s a good thing.","After recent environmental improvements, this Pokémon is now hardly seen at all. People speculate that it may go extinct at some point.",8,,1,60,143,105,105,75,65,100,50,500,66.1,3.0,Sludge Pokémon,0.5,0.5,Amorphous,,089.png
90,90,Shellder,Shellder,"The hardness of its shell surpasses the hardness of a diamond. In days gone by, people used the shells to make shields.",This Pokémon’s tongue is always hanging out. It uses its tongue with great dexterity to dig up sand from the seabed in its search for food.,3,,75,92,142,30,65,100,45,25,40,305,8.8,1.0,Bivalve Pokémon,0.5,0.5,Water 3,,090.png
